xrange,distribution
0,0.284037558685446
0,0.3591549295774648
0,0.31690140845070425
0,0.29107981220657275
0,0.2981220657276995
0,0.2934272300469484
0,0.3192488262910798
0,0.2887323943661972
0,0.2934272300469484
0,0.31220657276995306
0,0.29577464788732394
0,0.3333333333333333
0,0.3192488262910798
0,0.2863849765258216
0,0.2887323943661972
0,0.29107981220657275
0,0.2934272300469484
0,0.3075117370892019
0,0.3051643192488263
0,0.31690140845070425
0,0.2981220657276995
0,0.2746478873239437
0,0.323943661971831
0,0.3075117370892019
0,0.3028169014084507
0,0.3075117370892019
0,0.32629107981220656
0,0.31690140845070425
0,0.3028169014084507
0,0.323943661971831
0,0.31220657276995306
0,0.32629107981220656
0,0.2887323943661972
0,0.29577464788732394
0,0.3028169014084507
0,0.3028169014084507
0,0.2981220657276995
0,0.3075117370892019
0,0.30985915492957744
0,0.3028169014084507
0,0.3028169014084507
0,0.284037558685446
0,0.29577464788732394
0,0.3028169014084507
0,0.30985915492957744
0,0.32629107981220656
0,0.27230046948356806
0,0.31220657276995306
0,0.29577464788732394
0,0.3215962441314554
0,0.3075117370892019
0,0.2934272300469484
0,0.323943661971831
0,0.33098591549295775
0,0.3215962441314554
0,0.3145539906103286
0,0.3427230046948357
0,0.31220657276995306
0,0.2887323943661972
0,0.29107981220657275
0,0.31690140845070425
0,0.284037558685446
0,0.3004694835680751
0,0.3427230046948357
0,0.3192488262910798
0,0.323943661971831
0,0.29577464788732394
0,0.3192488262910798
0,0.3028169014084507
0,0.29107981220657275
0,0.2981220657276995
0,0.284037558685446
0,0.2934272300469484
0,0.2934272300469484
0,0.3028169014084507
0,0.3028169014084507
0,0.33098591549295775
0,0.27230046948356806
0,0.2887323943661972
0,0.29577464788732394
0,0.30985915492957744
0,0.31220657276995306
0,0.2887323943661972
0,0.3192488262910798
0,0.3004694835680751
0,0.31220657276995306
0,0.2981220657276995
0,0.3004694835680751
0,0.3192488262910798
0,0.3075117370892019
0,0.3004694835680751
0,0.27699530516431925
0,0.29107981220657275
0,0.2934272300469484
0,0.33098591549295775
0,0.3380281690140845
0,0.3028169014084507
0,0.3004694835680751
0,0.3145539906103286
0,0.29577464788732394
0,0.3215962441314554
0,0.3075117370892019
0,0.31690140845070425
0,0.2981220657276995
0,0.3215962441314554
0,0.30985915492957744
0,0.3028169014084507
0,0.31220657276995306
0,0.30985915492957744
0,0.31690140845070425
0,0.323943661971831
0,0.2793427230046948
0,0.30985915492957744
0,0.31220657276995306
0,0.32629107981220656
0,0.29577464788732394
0,0.29577464788732394
0,0.3075117370892019
0,0.3075117370892019
0,0.2981220657276995
0,0.2746478873239437
0,0.2934272300469484
0,0.3051643192488263
0,0.3333333333333333
0,0.284037558685446
0,0.2934272300469484
0,0.29577464788732394
0,0.29577464788732394
0,0.30985915492957744
0,0.2934272300469484
0,0.3028169014084507
0,0.28169014084507044
0,0.323943661971831
0,0.3075117370892019
0,0.3192488262910798
0,0.2863849765258216
0,0.3051643192488263
0,0.3333333333333333
0,0.29577464788732394
0,0.3474178403755869
0,0.3286384976525822
0,0.3192488262910798
0,0.2887323943661972
0,0.2652582159624413
0,0.3075117370892019
0,0.3380281690140845
0,0.29577464788732394
0,0.3286384976525822
0,0.29107981220657275
0,0.27699530516431925
0,0.3075117370892019
0,0.29107981220657275
0,0.3215962441314554
0,0.31220657276995306
0,0.28169014084507044
0,0.2793427230046948
0,0.3380281690140845
0,0.2887323943661972
0,0.3051643192488263
0,0.3051643192488263
0,0.2981220657276995
0,0.30985915492957744
0,0.2535211267605634
0,0.29107981220657275
0,0.3075117370892019
0,0.3028169014084507
0,0.284037558685446
0,0.30985915492957744
0,0.2981220657276995
0,0.3192488262910798
0,0.28169014084507044
0,0.31690140845070425
0,0.2934272300469484
0,0.323943661971831
0,0.3075117370892019
0,0.2981220657276995
0,0.323943661971831
0,0.3145539906103286
0,0.3051643192488263
0,0.28169014084507044
0,0.3028169014084507
0,0.31690140845070425
0,0.29577464788732394
0,0.3145539906103286
0,0.2981220657276995
0,0.3145539906103286
0,0.2934272300469484
0,0.3028169014084507
0,0.3215962441314554
0,0.2793427230046948
0,0.2746478873239437
0,0.2863849765258216
0,0.2934272300469484
0,0.2934272300469484
0,0.30985915492957744
0,0.29577464788732394
0,0.2981220657276995
0,0.28169014084507044
0,0.34507042253521125
0,0.323943661971831
0,0.3028169014084507
0,0.3075117370892019
0,0.3051643192488263
0,0.3004694835680751
0,0.3145539906103286
0,0.2981220657276995
0,0.2934272300469484
0,0.31690140845070425
0,0.30985915492957744
0,0.3215962441314554
0,0.3004694835680751
0,0.3004694835680751
0,0.323943661971831
0,0.29107981220657275
0,0.3028169014084507
0,0.30985915492957744
0,0.3215962441314554
0,0.2981220657276995
0,0.31220657276995306
0,0.3427230046948357
0,0.3004694835680751
0,0.3215962441314554
0,0.2863849765258216
0,0.284037558685446
0,0.3215962441314554
0,0.3028169014084507
0,0.3004694835680751
0,0.2887323943661972
0,0.3192488262910798
0,0.2981220657276995
0,0.3028169014084507
0,0.32629107981220656
0,0.29107981220657275
0,0.27230046948356806
0,0.2863849765258216
0,0.3215962441314554
0,0.33098591549295775
0,0.31220657276995306
0,0.2981220657276995
0,0.3215962441314554
0,0.284037558685446
0,0.31690140845070425
0,0.3004694835680751
0,0.31690140845070425
0,0.2652582159624413
0,0.30985915492957744
0,0.3051643192488263
0,0.3192488262910798
0,0.30985915492957744
0,0.3028169014084507
0,0.33568075117370894
0,0.3215962441314554
0,0.3028169014084507
0,0.3075117370892019
0,0.27699530516431925
0,0.2981220657276995
0,0.3215962441314554
0,0.3028169014084507
0,0.29107981220657275
0,0.2934272300469484
0,0.3145539906103286
0,0.3051643192488263
0,0.3145539906103286
0,0.3215962441314554
0,0.323943661971831
0,0.3145539906103286
0,0.3051643192488263
0,0.2981220657276995
0,0.2981220657276995
0,0.3215962441314554
0,0.34976525821596244
0,0.2863849765258216
0,0.28169014084507044
0,0.3192488262910798
0,0.3192488262910798
0,0.3028169014084507
0,0.3145539906103286
0,0.3192488262910798
0,0.28169014084507044
0,0.3192488262910798
0,0.2746478873239437
0,0.284037558685446
0,0.2887323943661972
0,0.2887323943661972
0,0.323943661971831
0,0.3004694835680751
0,0.3215962441314554
0,0.284037558685446
0,0.3051643192488263
0,0.32629107981220656
0,0.27230046948356806
0,0.3028169014084507
0,0.2863849765258216
0,0.3004694835680751
0,0.3403755868544601
0,0.3004694835680751
0,0.29577464788732394
0,0.2981220657276995
0,0.28169014084507044
0,0.29107981220657275
0,0.3192488262910798
0,0.2981220657276995
0,0.3075117370892019
0,0.29107981220657275
0,0.3051643192488263
0,0.33098591549295775
0,0.3004694835680751
0,0.29107981220657275
0,0.26291079812206575
0,0.29107981220657275
0,0.33568075117370894
0,0.29577464788732394
0,0.3051643192488263
0,0.3145539906103286
0,0.2887323943661972
0,0.28169014084507044
0,0.2535211267605634
0,0.3004694835680751
0,0.33568075117370894
0,0.31690140845070425
0,0.3051643192488263
0,0.28169014084507044
0,0.323943661971831
0,0.33098591549295775
0,0.3333333333333333
0,0.3028169014084507
0,0.31220657276995306
0,0.2981220657276995
0,0.3333333333333333
0,0.3333333333333333
0,0.33098591549295775
0,0.27699530516431925
0,0.30985915492957744
0,0.2934272300469484
0,0.3051643192488263
0,0.3286384976525822
0,0.28169014084507044
0,0.3591549295774648
0,0.30985915492957744
0,0.3051643192488263
0,0.28169014084507044
0,0.33568075117370894
0,0.3215962441314554
0,0.284037558685446
0,0.3028169014084507
0,0.2746478873239437
0,0.2652582159624413
0,0.3028169014084507
0,0.3333333333333333
0,0.3286384976525822
0,0.31690140845070425
0,0.2863849765258216
0,0.3075117370892019
0,0.33098591549295775
0,0.2793427230046948
0,0.3286384976525822
0,0.3192488262910798
0,0.3215962441314554
0,0.31690140845070425
0,0.3333333333333333
0,0.3215962441314554
0,0.33098591549295775
0,0.2605633802816901
0,0.29577464788732394
0,0.3028169014084507
0,0.3028169014084507
0,0.29107981220657275
0,0.3051643192488263
0,0.33568075117370894
0,0.3028169014084507
0,0.3004694835680751
0,0.3145539906103286
0,0.2746478873239437
0,0.2981220657276995
0,0.31220657276995306
0,0.29577464788732394
0,0.3028169014084507
0,0.27230046948356806
0,0.3075117370892019
0,0.2887323943661972
0,0.29577464788732394
0,0.2676056338028169
0,0.3145539906103286
0,0.32629107981220656
0,0.29107981220657275
0,0.3075117370892019
0,0.30985915492957744
0,0.323943661971831
0,0.29577464788732394
0,0.284037558685446
0,0.3215962441314554
0,0.3051643192488263
0,0.3075117370892019
0,0.31690140845070425
0,0.31690140845070425
0,0.3004694835680751
0,0.3004694835680751
0,0.2981220657276995
0,0.323943661971831
0,0.2934272300469484
0,0.30985915492957744
0,0.323943661971831
0,0.3028169014084507
0,0.3215962441314554
0,0.2934272300469484
0,0.3028169014084507
0,0.2699530516431925
0,0.30985915492957744
0,0.32629107981220656
0,0.3145539906103286
0,0.29107981220657275
0,0.3028169014084507
0,0.31220657276995306
0,0.2981220657276995
0,0.31220657276995306
0,0.31690140845070425
0,0.3145539906103286
0,0.2981220657276995
0,0.2934272300469484
0,0.2793427230046948
0,0.3051643192488263
0,0.29577464788732394
0,0.31220657276995306
0,0.3333333333333333
0,0.29577464788732394
0,0.2793427230046948
0,0.29577464788732394
0,0.2676056338028169
0,0.2863849765258216
0,0.3145539906103286
0,0.3075117370892019
0,0.3004694835680751
0,0.3028169014084507
0,0.3075117370892019
0,0.323943661971831
0,0.323943661971831
0,0.29107981220657275
0,0.31220657276995306
0,0.31220657276995306
0,0.2981220657276995
0,0.2887323943661972
0,0.27230046948356806
0,0.31220657276995306
0,0.33098591549295775
0,0.31220657276995306
0,0.3192488262910798
0,0.2793427230046948
0,0.2934272300469484
0,0.28169014084507044
0,0.3145539906103286
0,0.3145539906103286
0,0.3051643192488263
0,0.29577464788732394
0,0.323943661971831
0,0.30985915492957744
0,0.2934272300469484
0,0.3051643192488263
0,0.323943661971831
0,0.3004694835680751
0,0.323943661971831
0,0.29107981220657275
0,0.323943661971831
0,0.3215962441314554
0,0.3192488262910798
0,0.3004694835680751
0,0.29107981220657275
0,0.3192488262910798
0,0.31690140845070425
0,0.3192488262910798
0,0.2863849765258216
0,0.3145539906103286
0,0.31220657276995306
0,0.30985915492957744
0,0.3286384976525822
0,0.2863849765258216
0,0.2934272300469484
0,0.31220657276995306
0,0.3145539906103286
0,0.29577464788732394
0,0.2981220657276995
0,0.3333333333333333
0,0.3028169014084507
0,0.29577464788732394
0,0.323943661971831
0,0.2746478873239437
0,0.2793427230046948
0,0.29577464788732394
0,0.3591549295774648
0,0.31690140845070425
0,0.2887323943661972
0,0.28169014084507044
0,0.31220657276995306
0,0.3215962441314554
0,0.3192488262910798
0,0.2981220657276995
0,0.2676056338028169
0,0.33568075117370894
0,0.31690140845070425
0,0.30985915492957744
0,0.29107981220657275
0,0.3427230046948357
0,0.3192488262910798
0,0.3145539906103286
0,0.3051643192488263
0,0.31690140845070425
0,0.3286384976525822
0,0.3075117370892019
0,0.3568075117370892
0,0.323943661971831
0,0.29577464788732394
0,0.2934272300469484
0,0.3286384976525822
0,0.31690140845070425
0,0.29577464788732394
0,0.323943661971831
0,0.3028169014084507
0,0.31220657276995306
0,0.3051643192488263
0,0.3145539906103286
0,0.3051643192488263
0,0.3004694835680751
0,0.30985915492957744
0,0.27699530516431925
0,0.3333333333333333
0,0.2746478873239437
0,0.33098591549295775
0,0.33568075117370894
0,0.30985915492957744
0,0.284037558685446
0,0.3145539906103286
0,0.31220657276995306
0,0.2863849765258216
0,0.3380281690140845
0,0.3051643192488263
0,0.31220657276995306
0,0.2793427230046948
0,0.3075117370892019
0,0.323943661971831
0,0.3333333333333333
0,0.31220657276995306
0,0.3028169014084507
0,0.323943661971831
0,0.2981220657276995
0,0.2934272300469484
0,0.28169014084507044
0,0.31690140845070425
0,0.31690140845070425
0,0.32629107981220656
0,0.29577464788732394
0,0.31690140845070425
0,0.3145539906103286
0,0.3286384976525822
0,0.3028169014084507
0,0.30985915492957744
0,0.28169014084507044
0,0.29577464788732394
0,0.3192488262910798
0,0.31220657276995306
0,0.2934272300469484
0,0.28169014084507044
0,0.2934272300469484
0,0.27230046948356806
0,0.2863849765258216
0,0.3075117370892019
0,0.2746478873239437
0,0.33098591549295775
0,0.323943661971831
0,0.2887323943661972
0,0.28169014084507044
0,0.3075117370892019
0,0.32629107981220656
0,0.31690140845070425
0,0.30985915492957744
0,0.3215962441314554
0,0.2535211267605634
0,0.2863849765258216
0,0.27699530516431925
0,0.29577464788732394
0,0.27230046948356806
0,0.2934272300469484
0,0.2887323943661972
0,0.3004694835680751
0,0.2746478873239437
0,0.3380281690140845
0,0.29577464788732394
0,0.31690140845070425
0,0.2981220657276995
0,0.3215962441314554
0,0.29577464788732394
0,0.3145539906103286
0,0.2981220657276995
0,0.2676056338028169
0,0.3004694835680751
0,0.33098591549295775
0,0.323943661971831
0,0.2863849765258216
0,0.3427230046948357
0,0.2934272300469484
0,0.2887323943661972
0,0.31220657276995306
0,0.3028169014084507
0,0.3427230046948357
0,0.3192488262910798
0,0.2746478873239437
0,0.31690140845070425
0,0.3004694835680751
0,0.31690140845070425
0,0.2934272300469484
0,0.2934272300469484
0,0.3051643192488263
0,0.31220657276995306
0,0.2652582159624413
0,0.2793427230046948
0,0.3004694835680751
0,0.3192488262910798
0,0.2934272300469484
0,0.29107981220657275
0,0.31690140845070425
0,0.3215962441314554
0,0.32629107981220656
0,0.32629107981220656
0,0.2746478873239437
0,0.29107981220657275
0,0.3215962441314554
0,0.3075117370892019
0,0.3215962441314554
0,0.284037558685446
0,0.2863849765258216
0,0.32629107981220656
0,0.284037558685446
0,0.3215962441314554
0,0.33098591549295775
0,0.33098591549295775
0,0.3215962441314554
0,0.30985915492957744
0,0.2887323943661972
0,0.31220657276995306
0,0.3004694835680751
0,0.2652582159624413
0,0.32629107981220656
0,0.3075117370892019
0,0.31690140845070425
0,0.29107981220657275
0,0.29107981220657275
0,0.3004694835680751
0,0.3051643192488263
0,0.31220657276995306
0,0.31220657276995306
0,0.29577464788732394
0,0.3075117370892019
0,0.32629107981220656
0,0.2981220657276995
0,0.32629107981220656
0,0.2887323943661972
0,0.30985915492957744
0,0.2863849765258216
0,0.3028169014084507
0,0.2934272300469484
0,0.2981220657276995
0,0.2863849765258216
0,0.3051643192488263
0,0.3286384976525822
0,0.3028169014084507
0,0.3145539906103286
0,0.31220657276995306
0,0.29577464788732394
0,0.3192488262910798
0,0.31690140845070425
0,0.3192488262910798
0,0.2934272300469484
0,0.31220657276995306
0,0.2981220657276995
0,0.30985915492957744
0,0.33098591549295775
0,0.3286384976525822
0,0.3051643192488263
0,0.2793427230046948
0,0.3004694835680751
0,0.3004694835680751
0,0.2863849765258216
0,0.31220657276995306
0,0.352112676056338
0,0.3051643192488263
0,0.3051643192488263
0,0.3427230046948357
0,0.2863849765258216
0,0.29107981220657275
0,0.2934272300469484
0,0.2793427230046948
0,0.3145539906103286
0,0.30985915492957744
0,0.27699530516431925
0,0.3051643192488263
0,0.30985915492957744
0,0.3028169014084507
0,0.2934272300469484
0,0.3286384976525822
0,0.3051643192488263
0,0.32629107981220656
0,0.31220657276995306
0,0.3145539906103286
0,0.2863849765258216
0,0.2981220657276995
0,0.3075117370892019
0,0.2863849765258216
0,0.29577464788732394
0,0.3192488262910798
0,0.3145539906103286
0,0.32629107981220656
0,0.3215962441314554
0,0.2863849765258216
0,0.30985915492957744
0,0.28169014084507044
0,0.31690140845070425
0,0.3380281690140845
0,0.3051643192488263
0,0.2981220657276995
0,0.2676056338028169
0,0.29577464788732394
0,0.3215962441314554
0,0.2863849765258216
0,0.3051643192488263
0,0.284037558685446
0,0.32629107981220656
0,0.3004694835680751
0,0.3028169014084507
0,0.2793427230046948
0,0.2863849765258216
0,0.3028169014084507
0,0.284037558685446
0,0.3004694835680751
0,0.3051643192488263
0,0.3004694835680751
0,0.3145539906103286
0,0.284037558685446
0,0.31220657276995306
0,0.3145539906103286
0,0.3028169014084507
0,0.2863849765258216
0,0.30985915492957744
0,0.30985915492957744
0,0.3427230046948357
0,0.2746478873239437
0,0.3145539906103286
0,0.2934272300469484
0,0.29107981220657275
0,0.2934272300469484
0,0.30985915492957744
0,0.31690140845070425
0,0.2887323943661972
0,0.29577464788732394
0,0.3075117370892019
0,0.3051643192488263
0,0.31220657276995306
0,0.29577464788732394
0,0.31220657276995306
0,0.31220657276995306
0,0.2793427230046948
0,0.3145539906103286
0,0.32629107981220656
0,0.284037558685446
0,0.2863849765258216
0,0.2887323943661972
0,0.3004694835680751
0,0.29577464788732394
0,0.2746478873239437
0,0.3215962441314554
0,0.2981220657276995
0,0.28169014084507044
0,0.2981220657276995
0,0.31220657276995306
0,0.2981220657276995
0,0.34976525821596244
0,0.3051643192488263
0,0.3145539906103286
0,0.32629107981220656
0,0.33098591549295775
0,0.2863849765258216
0,0.32629107981220656
0,0.3075117370892019
0,0.31220657276995306
0,0.3028169014084507
0,0.2887323943661972
0,0.33568075117370894
0,0.3075117370892019
0,0.2746478873239437
0,0.3075117370892019
0,0.3051643192488263
0,0.32629107981220656
0,0.29107981220657275
0,0.2652582159624413
0,0.30985915492957744
0,0.3215962441314554
0,0.3051643192488263
0,0.31220657276995306
0,0.2981220657276995
0,0.3028169014084507
0,0.2981220657276995
0,0.3075117370892019
0,0.2934272300469484
0,0.3051643192488263
0,0.30985915492957744
0,0.31220657276995306
0,0.29577464788732394
0,0.3075117370892019
0,0.27699530516431925
0,0.3051643192488263
0,0.32629107981220656
0,0.2793427230046948
0,0.3192488262910798
0,0.31690140845070425
0,0.2887323943661972
0,0.3145539906103286
0,0.29577464788732394
0,0.3028169014084507
0,0.3004694835680751
0,0.3004694835680751
0,0.323943661971831
0,0.2887323943661972
0,0.2863849765258216
0,0.3051643192488263
0,0.3028169014084507
0,0.3427230046948357
0,0.30985915492957744
0,0.28169014084507044
0,0.3004694835680751
0,0.31220657276995306
0,0.29577464788732394
0,0.3333333333333333
0,0.3051643192488263
0,0.3051643192488263
0,0.34976525821596244
0,0.3051643192488263
0,0.31220657276995306
0,0.3051643192488263
0,0.3028169014084507
0,0.3028169014084507
0,0.3051643192488263
0,0.29107981220657275
0,0.29577464788732394
0,0.31690140845070425
0,0.3051643192488263
0,0.3215962441314554
0,0.2863849765258216
0,0.3192488262910798
0,0.3145539906103286
0,0.3145539906103286
0,0.34507042253521125
0,0.323943661971831
0,0.29107981220657275
0,0.2887323943661972
0,0.3192488262910798
0,0.3192488262910798
0,0.3403755868544601
0,0.3004694835680751
0,0.29577464788732394
0,0.27230046948356806
0,0.28169014084507044
0,0.3192488262910798
0,0.3004694835680751
0,0.3403755868544601
0,0.30985915492957744
0,0.3004694835680751
0,0.31220657276995306
0,0.3192488262910798
0,0.2863849765258216
0,0.2981220657276995
0,0.3028169014084507
0,0.2981220657276995
0,0.32629107981220656
0,0.3051643192488263
0,0.3145539906103286
0,0.31690140845070425
0,0.3145539906103286
0,0.31220657276995306
0,0.2793427230046948
0,0.3004694835680751
0,0.32629107981220656
0,0.3028169014084507
0,0.3145539906103286
0,0.31220657276995306
0,0.3028169014084507
0,0.3075117370892019
0,0.323943661971831
0,0.3004694835680751
0,0.323943661971831
0,0.3051643192488263
0,0.30985915492957744
0,0.30985915492957744
0,0.3286384976525822
0,0.27699530516431925
0,0.3075117370892019
0,0.31690140845070425
0,0.30985915492957744
0,0.3145539906103286
0,0.3051643192488263
0,0.27230046948356806
0,0.3145539906103286
0,0.3075117370892019
0,0.284037558685446
10,0.2857142857142857
10,0.3333333333333333
10,0.30952380952380953
10,0.2619047619047619
10,0.2619047619047619
10,0.30952380952380953
10,0.2857142857142857
10,0.30952380952380953
10,0.2619047619047619
10,0.21428571428571427
10,0.30952380952380953
10,0.2857142857142857
10,0.30952380952380953
10,0.2619047619047619
10,0.2619047619047619
10,0.35714285714285715
10,0.3333333333333333
10,0.2857142857142857
10,0.2619047619047619
10,0.2857142857142857
10,0.35714285714285715
10,0.30952380952380953
10,0.23809523809523808
10,0.2857142857142857
10,0.2857142857142857
10,0.35714285714285715
10,0.38095238095238093
10,0.30952380952380953
10,0.2857142857142857
10,0.38095238095238093
10,0.2857142857142857
10,0.3333333333333333
10,0.40476190476190477
10,0.2857142857142857
10,0.3333333333333333
10,0.35714285714285715
10,0.2619047619047619
10,0.30952380952380953
10,0.40476190476190477
10,0.35714285714285715
10,0.30952380952380953
10,0.2619047619047619
10,0.30952380952380953
10,0.3333333333333333
10,0.5
10,0.23809523809523808
10,0.2857142857142857
10,0.2857142857142857
10,0.40476190476190477
10,0.2857142857142857
10,0.2857142857142857
10,0.35714285714285715
10,0.30952380952380953
10,0.23809523809523808
10,0.2619047619047619
10,0.23809523809523808
10,0.30952380952380953
10,0.2857142857142857
10,0.30952380952380953
10,0.35714285714285715
10,0.35714285714285715
10,0.2857142857142857
10,0.40476190476190477
10,0.35714285714285715
10,0.35714285714285715
10,0.2619047619047619
10,0.2857142857142857
10,0.23809523809523808
10,0.2857142857142857
10,0.2857142857142857
10,0.23809523809523808
10,0.3333333333333333
10,0.2857142857142857
10,0.2619047619047619
10,0.2857142857142857
10,0.47619047619047616
10,0.38095238095238093
10,0.2619047619047619
10,0.3333333333333333
10,0.2619047619047619
10,0.30952380952380953
10,0.3333333333333333
10,0.40476190476190477
10,0.30952380952380953
10,0.30952380952380953
10,0.2619047619047619
10,0.30952380952380953
10,0.19047619047619047
10,0.40476190476190477
10,0.23809523809523808
10,0.2857142857142857
10,0.23809523809523808
10,0.21428571428571427
10,0.2619047619047619
10,0.2619047619047619
10,0.21428571428571427
10,0.2857142857142857
10,0.3333333333333333
10,0.30952380952380953
10,0.2857142857142857
10,0.30952380952380953
10,0.3333333333333333
10,0.30952380952380953
10,0.23809523809523808
10,0.23809523809523808
10,0.23809523809523808
10,0.3333333333333333
10,0.19047619047619047
10,0.21428571428571427
10,0.30952380952380953
10,0.30952380952380953
10,0.3333333333333333
10,0.2619047619047619
10,0.23809523809523808
10,0.2619047619047619
10,0.21428571428571427
10,0.2619047619047619
10,0.2857142857142857
10,0.21428571428571427
10,0.3333333333333333
10,0.2857142857142857
10,0.30952380952380953
10,0.30952380952380953
10,0.38095238095238093
10,0.3333333333333333
10,0.21428571428571427
10,0.3333333333333333
10,0.35714285714285715
10,0.30952380952380953
10,0.30952380952380953
10,0.3333333333333333
10,0.3333333333333333
10,0.21428571428571427
10,0.2857142857142857
10,0.35714285714285715
10,0.30952380952380953
10,0.2857142857142857
10,0.2619047619047619
10,0.30952380952380953
10,0.30952380952380953
10,0.23809523809523808
10,0.35714285714285715
10,0.35714285714285715
10,0.23809523809523808
10,0.2857142857142857
10,0.2857142857142857
10,0.2619047619047619
10,0.2857142857142857
10,0.30952380952380953
10,0.35714285714285715
10,0.3333333333333333
10,0.2857142857142857
10,0.30952380952380953
10,0.16666666666666666
10,0.2857142857142857
10,0.3333333333333333
10,0.30952380952380953
10,0.2619047619047619
10,0.23809523809523808
10,0.23809523809523808
10,0.23809523809523808
10,0.40476190476190477
10,0.38095238095238093
10,0.19047619047619047
10,0.23809523809523808
10,0.30952380952380953
10,0.35714285714285715
10,0.38095238095238093
10,0.30952380952380953
10,0.19047619047619047
10,0.30952380952380953
10,0.30952380952380953
10,0.2857142857142857
10,0.38095238095238093
10,0.38095238095238093
10,0.2857142857142857
10,0.35714285714285715
10,0.2619047619047619
10,0.2857142857142857
10,0.30952380952380953
10,0.35714285714285715
10,0.38095238095238093
10,0.2619047619047619
10,0.3333333333333333
10,0.30952380952380953
10,0.30952380952380953
10,0.30952380952380953
10,0.21428571428571427
10,0.2619047619047619
10,0.21428571428571427
10,0.2619047619047619
10,0.3333333333333333
10,0.2619047619047619
10,0.2857142857142857
10,0.35714285714285715
10,0.2619047619047619
10,0.2857142857142857
10,0.21428571428571427
10,0.2619047619047619
10,0.16666666666666666
10,0.30952380952380953
10,0.30952380952380953
10,0.30952380952380953
10,0.2619047619047619
10,0.23809523809523808
10,0.2619047619047619
10,0.2857142857142857
10,0.16666666666666666
10,0.3333333333333333
10,0.2857142857142857
10,0.19047619047619047
10,0.23809523809523808
10,0.21428571428571427
10,0.30952380952380953
10,0.23809523809523808
10,0.2619047619047619
10,0.30952380952380953
10,0.35714285714285715
10,0.3333333333333333
10,0.2857142857142857
10,0.3333333333333333
10,0.23809523809523808
10,0.30952380952380953
10,0.2619047619047619
10,0.2619047619047619
10,0.30952380952380953
10,0.21428571428571427
10,0.2619047619047619
10,0.3333333333333333
10,0.2857142857142857
10,0.42857142857142855
10,0.2619047619047619
10,0.2857142857142857
10,0.30952380952380953
10,0.3333333333333333
10,0.30952380952380953
10,0.2857142857142857
10,0.23809523809523808
10,0.3333333333333333
10,0.2619047619047619
10,0.3333333333333333
10,0.23809523809523808
10,0.23809523809523808
10,0.35714285714285715
10,0.23809523809523808
10,0.3333333333333333
10,0.23809523809523808
10,0.23809523809523808
10,0.23809523809523808
10,0.23809523809523808
10,0.3333333333333333
10,0.3333333333333333
10,0.23809523809523808
10,0.30952380952380953
10,0.40476190476190477
10,0.38095238095238093
10,0.2619047619047619
10,0.30952380952380953
10,0.30952380952380953
10,0.2857142857142857
10,0.3333333333333333
10,0.40476190476190477
10,0.3333333333333333
10,0.23809523809523808
10,0.30952380952380953
10,0.2857142857142857
10,0.30952380952380953
10,0.3333333333333333
10,0.35714285714285715
10,0.2619047619047619
10,0.42857142857142855
10,0.21428571428571427
10,0.2857142857142857
10,0.30952380952380953
10,0.3333333333333333
10,0.38095238095238093
10,0.2619047619047619
